Type,Price,Time,Reason,Profit
Buy,591.8,2024-05-31 07:30:00,,0.0
Sell,625.4,2024-06-03 06:15:00,TP/SL,33.60000000000002
Buy,607.7,2024-06-11 11:00:00,,-17.699999999999932
Sell,584.2,2024-06-18 01:30:00,TP/SL,-23.5
Buy,591.0,2024-06-20 22:30:00,,6.7999999999999545
Sell,570.8,2024-06-24 05:00:00,TP/SL,-20.200000000000045
Buy,561.6,2024-07-03 10:00:00,,-9.199999999999932
Sell,537.5,2024-07-04 01:45:00,TP/SL,-24.100000000000023
Buy,534.5,2024-07-04 06:15:00,,-3.0
Sell,517.7,2024-07-04 12:45:00,TP/SL,-16.799999999999955
Buy,458.8,2024-07-05 08:45:00,,-58.900000000000034
Sell,483.0,2024-07-05 11:15:00,TP/SL,24.19999999999999
Buy,505.0,2024-07-07 12:30:00,,22.0
Sell,488.5,2024-07-08 00:00:00,TP/SL,-16.5
Buy,572.8,2024-07-17 15:45:00,,84.29999999999995
Sell,602.0,2024-07-21 20:15:00,TP/SL,29.200000000000045
Buy,575.0,2024-07-29 23:00:00,,-27.0
Sell,557.0,2024-08-01 15:30:00,TP/SL,-18.0
Buy,550.2,2024-08-02 21:00:00,,-6.7999999999999545
Sell,528.0,2024-08-03 01:00:00,TP/SL,-22.200000000000045
Buy,425.6,2024-08-05 06:00:00,,-102.39999999999998
Sell,410.5,2024-08-05 06:15:00,TP/SL,-15.100000000000023
Buy,577.4,2024-08-23 11:00:00,,166.89999999999998
Sell,560.0,2024-08-26 12:30:00,TP/SL,-17.399999999999977
Buy,508.5,2024-09-04 05:45:00,,-51.5
Sell,492.4,2024-09-06 15:15:00,TP/SL,-16.100000000000023
Buy,592.5,2024-09-25 13:00:00,,100.10000000000002
Sell,574.2,2024-09-30 09:45:00,TP/SL,-18.299999999999955
Buy,573.2,2024-10-31 19:45:00,,-1.0
Sell,555.8,2024-11-03 13:30:00,TP/SL,-17.40000000000009
Buy,617.66,2024-11-12 16:00:00,,61.860000000000014
Sell,659.82,2024-11-14 07:45:00,TP/SL,42.16000000000008
